run,label,direction,kind,bytes,mode,workers,trial,persistence,request_bytes,split_min_bytes,elapsed_seconds,status,verified,control_ready_seconds,planning_complete_seconds,workers_complete_seconds,worker_startup_min_seconds,worker_startup_max_seconds,range_requests,streaming_ranges,streamed_blocks,stream_discarded_bytes,stream_shrink_requests,small_batches,local_whole_files
streaming-sehb4hxv,local-small-auto-streaming-j8-r3,local,small,8388608,auto-streaming,8,3,off,4194304,33554432,0.12687795795500278,ok,True,0.0,0.02,0.12,0.01,0.01,0,0,0,0,0,8,0
streaming-sehb4hxv,push-large-auto-p4-j1-r1,push,large,33554432,auto-p4,1,1,off,4194304,33554432,20.2186535843648,ok,True,3.86,5.09,19.8,3.55,3.55,8,0,0,0,0,0,0
streaming-sehb4hxv,push-large-auto-streaming-j1-r1,push,large,33554432,auto-streaming,1,1,off,4194304,33554432,19.603694667108357,ok,True,3.34,4.56,19.11,3.38,3.38,0,1,8,0,0,0,0
streaming-sehb4hxv,push-large-auto-p16-j1-r1,push,large,33554432,auto-p16,1,1,off,4194304,33554432,21.332695125136524,ok,True,3.43,4.67,20.93,3.33,3.33,8,0,0,0,0,0,0
streaming-sehb4hxv,push-large-auto-p4-j8-r1,push,large,33554432,auto-p4,8,1,off,4194304,33554432,21.859220208134502,ok,True,3.54,4.8,21.44,3.4,6.1,8,0,0,0,0,0,0
streaming-sehb4hxv,push-large-auto-streaming-j8-r1,push,large,33554432,auto-streaming,8,1,off,4194304,33554432,25.004276665858924,timeout,False,3.28,4.51,,3.67,6.06,,,,,,,
streaming-sehb4hxv,push-large-auto-p16-j8-r1,push,large,33554432,auto-p16,8,1,off,4194304,33554432,25.04293499980122,timeout,False,3.58,4.8,,3.71,6.1,,,,,,,
streaming-sehb4hxv,push-large-rsync-j0-r1,push,large,33554432,rsync,0,1,off,,,15.683593166992068,ok,True,,,,,,,,,,,,
streaming-sehb4hxv,push-small-auto-p4-j1-r1,push,small,8388608,auto-p4,1,1,off,4194304,33554432,11.571498666889966,ok,True,3.32,5.76,11.17,0.66,0.66,0,0,0,0,0,2,0
streaming-sehb4hxv,push-small-auto-streaming-j1-r1,push,small,8388608,auto-streaming,1,1,off,4194304,33554432,11.682512457948178,ok,True,3.35,5.77,11.23,0.64,0.64,0,0,0,0,0,2,0
streaming-oxtwxfax,push-large-auto-p4-j1-r1,push,large,16777216,auto-p4,1,1,off,4194304,33554432,15.280045666731894,ok,True,3.73,5.1,14.86,3.32,3.32,4,0,0,0,0,0,0
streaming-oxtwxfax,push-large-auto-streaming-j1-r1,push,large,16777216,auto-streaming,1,1,off,4194304,33554432,15.802760874852538,ok,True,3.51,4.74,15.4,3.52,3.52,0,1,4,0,0,0,0
streaming-oxtwxfax,push-large-auto-p16-j1-r1,push,large,16777216,auto-p16,1,1,off,4194304,33554432,15.527516125235707,ok,True,3.52,4.88,15.07,3.59,3.59,4,0,0,0,0,0,0
streaming-oxtwxfax,push-large-auto-p4-j8-r1,push,large,16777216,auto-p4,8,1,off,4194304,33554432,15.384568666107953,ok,True,3.29,4.53,14.98,4.03,5.88,4,0,0,0,0,0,0
streaming-oxtwxfax,push-large-auto-streaming-j8-r1,push,large,16777216,auto-streaming,8,1,off,4194304,33554432,16.228744708001614,ok,True,3.41,4.65,15.81,3.8,6.48,0,1,4,0,0,0,0
streaming-oxtwxfax,push-large-auto-p16-j8-r1,push,large,16777216,auto-p16,8,1,off,4194304,33554432,15.610679042059928,ok,True,3.33,4.55,15.21,3.71,5.83,4,0,0,0,0,0,0
streaming-oxtwxfax,push-large-rsync-j0-r1,push,large,16777216,rsync,0,1,off,,,10.077997584361583,ok,True,,,,,,,,,,,,
streaming-oxtwxfax,push-small-auto-p4-j1-r1,push,small,8388608,auto-p4,1,1,off,4194304,33554432,12.25708654196933,ok,True,3.44,5.92,11.83,0.65,0.65,0,0,0,0,0,2,0
streaming-oxtwxfax,push-small-auto-streaming-j1-r1,push,small,8388608,auto-streaming,1,1,off,4194304,33554432,11.724244708195329,ok,True,3.31,5.79,11.31,0.66,0.66,0,0,0,0,0,2,0
